,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Leeds! Leeds! Leeds! target Lafferty flattered by interest

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Duo exit Southend... but could return

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Trotter must be buzzing to get back to Bolton...

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Adebayor searching for a new club... apparently

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Roger 'relegation' Johnson makes Charlton return

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Atletico Madrid set to unveil new signing

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Have Arsenal grown frustrated with West Brom?

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Josh Clarke returns from Barnet loan

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Saints youngster recalled

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Towsend nearing White Hart Lane exit

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Aubameyang exit wouldn't break Dortmund...

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Poyet ends MK Dons spell

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Could Pellegrini and Isco be friends reunited?

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Could Zlatan be set for a Premier League move?

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Manchester United flop Hernandez not for sale!

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Birmingham ready to extend Vaughan's spell at the club

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Juan in the door already for Bournemouth

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Remember former Champions League finalist Jermaine Pennant?

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Arsenal getting their business done early doors

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
There's no need to be sad...

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
That's all folks!

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Blackburn Rovers complete permanent signing of Elliott Bennett

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Juventus striker Simone Zaza staying where he is, insists Massimiliano Allegri


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Kevin-Prince Boateng rejoins AC Milan on free transfer


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Nicklas Bendtner says his position at Wolfsburg is 'unsustainable'


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Fulham midfielder Larnell Cole extends loan-spell at Shrewsbury Town

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Bournemouth to rival Sunderland for QPR defender Steven Caulker

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Remember him? Ex-Boro man Emanuel 'Mad Dog' Pogatetz heads to Union Berlin

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Striker Jack Ryan's loan at Southport has been extended until the end of term

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Gillingham hitman Dominic Samuel extends his loan spell from Reading

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Mohamed Elneny misses Basel training as he closes in on £5m Arsenal transfer


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Scunthorpe've mutually agreed to cancel David Syers and Isaac Assenso's deals

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Spurs' Kenny McEvoy, once compared to Gareth Bale, has joined York City

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
Leicester forward Tom Lawrence has had his loan spell at Blackburn extended

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Paul Lambert has made an enquiry for Sunderland forward Danny Graham


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Chelsea ready to battle Spurs in January dash for Zenit midfielder Axel Witsel


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Some news for Cherries, Swans and Potters fans


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"

Jamie Vardy to Newcastle United? Absolute banter, says Leicester star's fiancee


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
